#{"t_start": 1717403449.5997531, "env_id": "HalfCheetah-v2"}
r,l,t
1539.947575,1000,6.937549
1202.180982,1000,8.46605
1434.343869,1000,10.423972
1427.078276,1000,12.162586
1509.77817,1000,13.427181
1465.259055,1000,15.094065
1377.66051,1000,16.77043
1419.058864,1000,18.528476
1478.551963,1000,20.166698
1489.237363,1000,21.650495
1469.426437,1000,23.119196
1497.277002,1000,25.032529
1427.808316,1000,26.542245
1492.028741,1000,28.227891
1454.087681,1000,30.041984
1545.239244,1000,31.730934
1472.714309,1000,33.335731
1492.689814,1000,34.787686
1469.897801,1000,36.241671
1460.409703,1000,37.744259
1186.744219,1000,39.160827
1411.339138,1000,40.636669
1452.339707,1000,42.671508
1469.520467,1000,44.604878
1456.606299,1000,46.133228
1523.919611,1000,47.544708
1475.948763,1000,49.069038
1409.649215,1000,50.919503
1390.062509,1000,52.521867
1497.355423,1000,54.778127
1457.142291,1000,56.26598
1461.111629,1000,58.404118
1458.72156,1000,60.462544
1483.246389,1000,62.558801
1158.086229,1000,64.61733
1493.750721,1000,66.745672
1497.30371,1000,68.799055
1457.392306,1000,70.907288
1511.563488,1000,73.213022
1326.19698,1000,75.12608
1344.610396,1000,77.217834
1396.579678,1000,78.935012
1442.97353,1000,80.471058
1493.64126,1000,81.955359
1465.49512,1000,84.03486
1535.054279,1000,85.727808
1513.346826,1000,87.507283
1474.234375,1000,89.228095
1490.244871,1000,91.431433
1398.356078,1000,93.908826
664.324151,1000,96.346518
367.966591,1000,98.801986
722.897142,1000,101.324619
721.308184,1000,103.011279
